source,title,description,url,published_at,source_type
Financial Post,"From bagels to ‘Canadianos,’ Trump tariff threat inspires symbolic acts of patriotism","U.S. President Donald Trump’s threats to impose across-the-board tariffs on Canada — not to mention his musings about making the country the 51st American state — have unleashed an uncharacteristic wave of patriotism across the country, marked by acts big and…",https://financialpost.com/pmn/from-bagels-to-canadianos-trump-tariff-threat-inspires-symbolic-acts-of-patriotism,2025-02-09T11:02:18Z,NewsAPI
Financial Post,Trump’s AI ambition and China’s DeepSeek overshadow an AI summit in Paris,"PARIS (AP) — The geopolitics of artificial intelligence will be in focus at a major summit in France where world leaders, executives and experts will hammer out pledges on guiding the development of the rapidly advancing technology. It’s the latest in a serie…",https://financialpost.com/pmn/trumps-ai-ambition-and-chinas-deepseek-overshadow-an-ai-summit-in-paris,2025-02-09T08:32:04Z,NewsAPI
Boston Herald,How to have a healthier Super Bowl party,"Traditionally, the Super Bowl is a celebration of extremes – the best teams, the fanciest stadiums and fans who sit at home eating the biggest buckets of anything-but-healthy food.",https://www.bostonherald.com/2025/02/09/how-to-have-a-healthier-super-bowl-party/,2025-02-09T06:47:25Z,NewsAPI
Hollywood Reporter,2025 Annie Awards Winners List,In the TV/media categories 'Arcane' won all seven awards for which it was nominated.,http://www.hollywoodreporter.com/movies/movie-news/2025-annie-awards-winners-list-1236131218/,2025-02-09T06:00:45Z,NewsAPI
Isocpp.org,wg21 (v83),"Revision by: JF Bastien(Update jfb bio)

#### What have you done for C++?

I currently chair the language evolution working group (EWG), previously chaired the language evolution incubator (EWGI). Most of my changes (EWG).

My initial contributions to C++ hav…",https://isocpp.org/wiki/faq/wg21?v83,2025-02-09T04:22:26Z,NewsAPI
Securityaffairs.com,PlayStation Network outage has been going on for over 24 hours,"PlayStation Network has been down for nearly a day, with little communication from Sony, leaving players frustrated. PlayStation Network has been down for almost a day all over the world, Sony confirmed it is aware of the global outage, but has yet to provide…",https://securityaffairs.com/174005/hacking/playstation-network-global-outage.html,2025-02-08T21:48:05Z,NewsAPI
Securityaffairs.com,Kimsuky APT group used custom RDP Wrapper version and forceCopy stealer,Researchers spotted North Korea’s Kimsuky APT group launching spear-phishing attacks to deliver forceCopy info-stealer malware. Researchers from AhnLab Security Intelligence Center (ASEC) observed North Korea’s Kimsuky APT group conducting spear-phishing atta…,https://securityaffairs.com/173991/apt/north-koreas-kimsuky-forcecopy-malware.html,2025-02-08T18:15:22Z,NewsAPI
Al Jazeera English,Super bowl halftime show: What to expect from Kendrick Lamar’s performance,Lamar is the first solo rapper to headline the Super Bowl halftime show.,https://www.aljazeera.com/news/2025/2/8/super-bowl-halftime-show-2025-kendrick-lamar-takes-the-stage,2025-02-08T16:42:20Z,NewsAPI
Steynonline.com,Nighties and Counterpanes,"On this week's edition of Mark Steyn on the Town we play a song for the season, a song for Mata Hari, and songs for the protean concept album. Plus mambo meets calypso, and Marianne Faithfull - forsooth! To listen to the programme, simply click here and",https://www.steynonline.com/15008/nighties-and-counterpanes,2025-02-08T14:00:00Z,NewsAPI
Financial Post,King Dollar Emerges as Fresh Threat for Big Tech Earnings Views,"The surge in the dollar is darkening the earnings outlook for US multinational companies from Amazon.com Inc. to Apple Inc., leaving investors to question how much longer the stock rally can withstand the greenback’s strength.",https://financialpost.com/pmn/business-pmn/king-dollar-emerges-as-fresh-threat-for-big-tech-earnings-views,2025-02-08T13:46:59Z,NewsAPI
Securityaffairs.com,Russia’s intelligence recruits Ukrainians for terror attacks via messaging apps,"Russia’s intelligence recruits Ukrainians for terror attacks via messaging apps and forums, offering quick pay, Ukraine’s law enforcement warns. According to Ukraine’s law enforcement, Russian intelligence is using messaging apps and forums to recruit Ukraini…",https://securityaffairs.com/173980/breaking-news/russias-intelligence-recruits-ukrainians-for-terror-attacks.html,2025-02-08T13:25:04Z,NewsAPI
Yahoo Entertainment,King dollar emerges as fresh threat for Big Tech earnings views,"(Bloomberg) -- The surge in the dollar is darkening the earnings outlook for US multinational companies from Amazon.com Inc. to Apple Inc., leaving investors...",https://finance.yahoo.com/news/king-dollar-emerges-fresh-threat-130000891.html,2025-02-08T13:00:00Z,NewsAPI
Yahoo Entertainment,Is Apple Inc. (AAPL) the Best Stock to Invest In for Grandchildren?,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_77300f0f-9efd-4f5b-a72d-81dbf2a1a719,2025-02-08T12:35:01Z,NewsAPI
ETF Daily News,Blue Trust Inc. Purchases 256 Shares of Hyatt Hotels Co. (NYSE:H),"Blue Trust Inc. increased its position in Hyatt Hotels Co. (NYSE:H – Free Report) by 78.8% in the 4th quarter, according to the company in its most recent disclosure with the Securities and Exchange Commission (SEC). The firm owned 581 shares of the company’s…",https://www.etfdailynews.com/2025/02/08/blue-trust-inc-purchases-256-shares-of-hyatt-hotels-co-nyseh/,2025-02-08T09:10:58Z,NewsAPI
ETF Daily News,FSA Wealth Management LLC Acquires New Stake in Apple Inc. (NASDAQ:AAPL),"FSA Wealth Management LLC bought a new position in Apple Inc. (NASDAQ:AAPL – Free Report) during the third quarter, HoldingsChannel.com reports. The fund bought 20,655 shares of the iPhone maker’s stock, valued at approximately $4,813,000. Apple accounts for …",https://www.etfdailynews.com/2025/02/08/fsa-wealth-management-llc-acquires-new-stake-in-apple-inc-nasdaqaapl/,2025-02-08T08:52:48Z,NewsAPI
ETF Daily News,Paradigm Capital Management LLC NV Acquires New Shares in Apple Inc. (NASDAQ:AAPL),"Paradigm Capital Management LLC NV bought a new position in Apple Inc. (NASDAQ:AAPL – Free Report) in the third quarter, according to the company in its most recent Form 13F filing with the SEC. The firm bought 12,431 shares of the iPhone maker’s stock, value…",https://www.etfdailynews.com/2025/02/08/paradigm-capital-management-llc-nv-acquires-new-shares-in-apple-inc-nasdaqaapl/,2025-02-08T08:52:47Z,NewsAPI
ETF Daily News,Apple Inc. (NASDAQ:AAPL) Holdings Reduced by Josh Arnold Investment Consultant LLC,"Josh Arnold Investment Consultant LLC reduced its stake in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 0.8% in the third quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commission (SEC). The institution…",https://www.etfdailynews.com/2025/02/08/apple-inc-nasdaqaapl-holdings-reduced-by-josh-arnold-investment-consultant-llc/,2025-02-08T08:52:47Z,NewsAPI
ETF Daily News,Apple Inc. (NASDAQ:AAPL) Shares Sold by Berkshire Hathaway Inc,"Berkshire Hathaway Inc lessened its position in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 25.0% in the third quarter, Holdings Channel.com reports. The institutional investor owned 300,000,000 shares of the iPhone maker’s stock after selling 100,000…",https://www.etfdailynews.com/2025/02/08/apple-inc-nasdaqaapl-shares-sold-by-berkshire-hathaway-inc/,2025-02-08T08:52:47Z,NewsAPI
ETF Daily News,Apple Inc. (NASDAQ:AAPL) Shares Sold by Alerus Financial NA,"Alerus Financial NA lessened its holdings in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 3.5% during the third quarter, according to the company in its most recent Form 13F filing with the Securities & Exchange Commission. The fund owned 240,849 share…",https://www.etfdailynews.com/2025/02/08/apple-inc-nasdaqaapl-shares-sold-by-alerus-financial-na/,2025-02-08T08:52:47Z,NewsAPI
ETF Daily News,Apple Inc. (NASDAQ:AAPL) Shares Bought by Arrowroot Family Office LLC,"Arrowroot Family Office LLC increased its stake in Apple Inc. (NASDAQ:AAPL – Free Report) by 9.4% during the third quarter, HoldingsChannel.com reports. The fund owned 13,335 shares of the iPhone maker’s stock after buying an additional 1,145 shares during th…",https://www.etfdailynews.com/2025/02/08/apple-inc-nasdaqaapl-shares-bought-by-arrowroot-family-office-llc/,2025-02-08T08:52:46Z,NewsAPI
ETF Daily News,Apple Inc. (NASDAQ:AAPL) Stock Holdings Decreased by Atom Investors LP,"Atom Investors LP decreased its stake in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 82.9% during the 3rd quarter, HoldingsChannel.com reports. The firm owned 5,254 shares of the iPhone maker’s stock after selling 25,427 shares during the quarter. Ato…",https://www.etfdailynews.com/2025/02/08/apple-inc-nasdaqaapl-stock-holdings-decreased-by-atom-investors-lp/,2025-02-08T08:52:46Z,NewsAPI
ETF Daily News,"Audent Global Asset Management LLC Sells 11,669 Shares of Apple Inc. (NASDAQ:AAPL)","Audent Global Asset Management LLC lowered its stake in Apple Inc. (NASDAQ:AAPL – Free Report) by 46.1% in the third quarter, Holdings Channel.com reports. The institutional investor owned 13,623 shares of the iPhone maker’s stock after selling 11,669 shares …",https://www.etfdailynews.com/2025/02/08/audent-global-asset-management-llc-sells-11669-shares-of-apple-inc-nasdaqaapl/,2025-02-08T08:52:46Z,NewsAPI
ETF Daily News,Hyatt Hotels Co. (NYSE:H) Receives Consensus Recommendation of “Hold” from Analysts,"Shares of Hyatt Hotels Co. (NYSE:H – Get Free Report) have earned an average rating of “Hold” from the twenty analysts that are presently covering the firm, MarketBeat Ratings reports. Thirteen investment analysts have rated the stock with a hold rating and s…",https://www.etfdailynews.com/2025/02/08/hyatt-hotels-co-nyseh-receives-consensus-recommendation-of-hold-from-analysts/,2025-02-08T08:20:56Z,NewsAPI
ETF Daily News,Plotkin Financial Advisors LLC Invests $6.69 Million in Apple Inc. (NASDAQ:AAPL),"Plotkin Financial Advisors LLC acquired a new stake in shares of Apple Inc. (NASDAQ:AAPL – Free Report) during the third quarter, HoldingsChannel reports. The firm acquired 28,731 shares of the iPhone maker’s stock, valued at approximately $6,694,000. Apple a…",https://www.etfdailynews.com/2025/02/08/plotkin-financial-advisors-llc-invests-6-69-million-in-apple-inc-nasdaqaapl/,2025-02-08T08:10:58Z,NewsAPI
ETF Daily News,Avala Global LP Cuts Position in Apple Inc. (NASDAQ:AAPL),"Avala Global LP reduced its position in Apple Inc. (NASDAQ:AAPL – Free Report) by 56.1% during the 3rd quarter, according to its most recent filing with the Securities and Exchange Commission (SEC). The institutional investor owned 103,790 shares of the iPhon…",https://www.etfdailynews.com/2025/02/08/avala-global-lp-cuts-position-in-apple-inc-nasdaqaapl/,2025-02-08T08:10:58Z,NewsAPI
The Daily Dot,‘Don’t update to iOS 18.3’: iPhone user demands answers after Apple ‘quietly’ adds Starlink in new update,"An iPhone user is warning that the latest iOS, 18.3, includes a connection to Starlink that might not sit well with some users.


Koch Head (@kochead) has already generated more than 2.9 million views as of Monday for a video posted Sunday. In the TikTok, he …",https://www.dailydot.com/news/iphone-starlink-update/,2025-02-08T05:00:00Z,NewsAPI
SiliconANGLE News,Report: UK ordered Apple to implement backdoor in iCloud encryption system,"U.K. officials have ordered Apple Inc. to implement a backdoor in its iCloud file storage service, the Washington Post reported today. The backdoor would enable the government to access Apple users’ encrypted files. If implemented, it would affect consumers i…",https://siliconangle.com/2025/02/07/report-uk-ordered-apple-implement-backdoor-icloud-encryption-system/,2025-02-07T23:50:34Z,NewsAPI
Askubuntu.com,MacBookPro(Ubuntu) USB built-in SD Card Reader disconnected after wake up from Suspend mode,"Hoping someone who had this problem and found a solution share some lights.
Problem description:
After a fresh power up of my MacBookPro, Ubuntu detects the Apple SD Card Reader correctly and everything works as expected. However, after the system wakes up fr…",https://askubuntu.com/questions/1540828/macbookproubuntu-usb-built-in-sd-card-reader-disconnected-after-wake-up-from-s,2025-02-07T22:41:14Z,NewsAPI
SiliconANGLE News,Ilya Sutskever’s SSI reportedly raising new funding at $20B+ valuation,"Safe Superintelligence Inc., a high-profile artificial intelligence startup started by a team that includes former OpenAI Chief Scientist Ilya Sutskever, is reportedly seeking to raise new capital at a valuation of at least $20 billion. Reuters today cited so…",https://siliconangle.com/2025/02/07/ilya-sutskevers-ssi-reportedly-raising-new-funding-20b-valuation/,2025-02-07T22:24:06Z,NewsAPI
Financial Post,SmartStop Self Storage Launches Mobile App to Enhance Customer Experience,"LADERA RANCH, Calif. — SmartStop Self Storage REIT, Inc. (“SmartStop” or the “Company“), a self-managed and fully integrated self-storage company, is excited to announce the launch of its new SmartStop Self Storage Mobile App. Designed to provide convenience …",https://financialpost.com/pmn/business-wire-news-releases-pmn/smartstop-self-storage-launches-mobile-app-to-enhance-customer-experience,2025-02-07T22:03:24Z,NewsAPI
Securityaffairs.com,U.S. CISA adds Trimble Cityworks flaw to its Known Exploited Vulnerabilities catalog,"U.S. Cybersecurity and Infrastructure Security Agency (CISA) adds Trimble Cityworks vulnerability to its Known Exploited Vulnerabilities catalog. The U.S. Cybersecurity and Infrastructure Security Agency (CISA) added a Trimble Cityworks vulnerability, tracked…",https://securityaffairs.com/173975/hacking/u-s-cisa-adds-trimble-cityworks-flaw-to-its-known-exploited-vulnerabilities-catalog.html,2025-02-07T21:54:13Z,NewsAPI
